Date,Open,High,Low,Close,Volume,Adj Close
2000-04-24,115.0,120.5,114.75,120.5,3960900,3.7351
2000-04-25,122.12,128.75,122.06,128.31,3496800,3.9772
2000-04-26,126.62,128.0,120.0,121.31,3276000,3.7602
2000-04-27,117.19,127.0,116.58,126.75,2916100,3.9289
2000-04-28,127.12,127.5,121.31,124.06,2228400,3.8455
2000-05-01,124.87,125.12,121.87,124.31,2019600,3.8532
2000-05-02,123.25,126.25,117.5,117.87,2111000,3.6536
2000-05-03,118.94,121.25,111.62,115.06,4373200,3.5665
2000-05-04,115.12,115.25,110.56,110.69,3567100,3.4311
2000-05-05,110.81,114.75,110.72,113.12,2536400,3.5064
2000-05-08,112.09,113.69,110.0,110.12,1650900,3.4134
2000-05-09,110.31,111.25,104.87,105.44,2920900,3.2683
2000-05-10,104.06,105.0,98.75,99.31,4777600,3.0783
2000-05-11,101.37,104.25,99.0,102.81,4462000,3.1868
2000-05-12,106.0,110.5,104.77,107.62,2740300,3.3359
2000-05-15,108.06,108.06,100.12,101.0,6061900,3.1307
2000-05-16,104.52,109.06,102.75,105.69,3932600,3.2761
2000-05-17,103.62,103.69,100.37,101.37,3554400,3.1422
2000-05-18,103.0,104.94,100.62,100.75,3337300,3.1229
2000-05-19,99.25,99.25,93.37,94.0,6613100,2.9137
2000-05-22,93.75,93.75,86.0,89.94,6745600,2.7879
2000-05-23,90.5,93.37,85.62,85.81,4621300,2.6599
2000-05-24,86.19,89.75,83.0,87.69,6057700,2.7181
2000-05-25,88.5,92.66,86.0,87.27,3631700,2.7051
2000-05-26,88.0,89.87,85.25,86.37,1617400,2.6772
2000-05-30,87.62,88.12,81.75,87.56,6366600,2.7141
2000-05-31,86.87,91.25,83.81,84.0,3870600,2.6037
2000-06-01,81.75,89.56,80.37,89.12,8070000,2.7625
2000-06-02,93.75,99.75,89.0,92.56,7079000,2.8691
2000-06-05,93.31,95.25,89.69,91.31,2889900,2.8303
2000-06-06,91.97,96.75,90.31,92.87,4691800,2.8787
2000-06-07,93.62,97.0,91.62,96.56,3009100,2.9931
2000-06-08,97.62,98.5,93.12,94.81,2129700,2.9388
2000-06-09,96.75,97.94,94.37,95.75,2253200,2.968
2000-06-12,96.37,96.44,90.87,91.19,2592300,2.8266
2000-06-13,91.19,94.69,88.19,94.5,3138000,2.9292
2000-06-14,94.69,96.25,90.12,90.44,2477200,2.8034
2000-06-15,91.25,93.37,89.0,92.37,2219400,2.8632
2000-06-16,93.5,93.75,89.06,91.19,2710400,2.8266
2000-06-19,90.56,97.87,89.81,96.62,3517900,2.9949
2000-06-20,98.5,103.94,98.37,101.25,4476700,3.1384
2000-06-21,50.5,56.94,50.31,55.63,4375000,3.4487
2000-06-22,55.75,57.63,53.56,53.75,8352000,3.3322
2000-06-23,53.78,54.63,50.81,51.69,3660100,3.2045
2000-06-26,52.5,54.75,52.13,54.13,3309900,3.3557
2000-06-27,53.78,55.5,51.63,51.75,3633400,3.2082
2000-06-28,53.31,55.38,51.5,54.44,5114800,3.375
2000-06-29,53.06,53.94,51.06,51.25,3636800,3.1772
2000-06-30,52.81,54.94,51.69,52.38,5769600,3.2472
2000-07-03,52.13,54.31,52.13,53.31,1264800,3.3049
2000-07-05,53.25,55.19,50.75,51.63,4736000,3.2008
2000-07-06,52.5,52.94,49.63,51.81,5527600,3.2119
2000-07-07,52.59,54.81,52.13,54.44,4707200,3.375
2000-07-10,54.09,58.25,53.75,57.13,7103500,3.5417
2000-07-11,57.0,59.25,55.44,56.94,6391000,3.5299
2000-07-12,58.13,58.94,56.38,58.88,4025600,3.6502
2000-07-13,58.5,60.63,54.75,56.5,7958200,3.5027
2000-07-14,57.13,59.0,56.88,57.69,3397800,3.5764
2000-07-17,58.25,58.81,57.13,58.31,4642900,3.6149
2000-07-18,58.5,58.88,56.88,57.25,5685800,3.5492
2000-07-19,55.19,56.81,51.75,52.69,8176300,3.2665
2000-07-20,55.0,57.06,54.13,55.13,8313800,3.4177
2000-07-21,54.36,55.63,52.94,53.56,3504200,3.3204
2000-07-24,52.56,52.88,47.5,48.69,7360200,3.0185
2000-07-25,50.31,50.63,49.06,50.06,3778700,3.1034
2000-07-26,49.84,51.25,49.25,50.06,3758400,3.1034
2000-07-27,50.0,53.25,49.88,52.0,5267600,3.2237
2000-07-28,52.28,52.5,46.88,48.31,4248100,2.9949
2000-07-31,49.16,51.63,48.75,50.81,2773200,3.1499
2000-08-01,50.31,51.16,49.25,49.31,2451500,3.0569
2000-08-02,49.0,49.94,47.19,47.25,2899200,2.9292
2000-08-03,45.56,48.06,44.25,48.0,6069600,2.9757
2000-08-04,49.47,51.25,46.31,47.38,4698600,2.9373
2000-08-07,47.88,49.06,47.19,47.94,3345500,2.972
2000-08-08,47.94,48.0,46.31,46.75,3154900,2.8982
2000-08-09,48.13,48.44,47.25,47.5,6779300,2.9447
2000-08-10,48.0,48.44,47.38,47.56,4494900,2.9484
2000-08-11,46.84,48.0,45.56,47.69,4251000,2.9565
2000-08-14,47.59,47.69,46.31,47.06,2797500,2.9174
2000-08-15,47.25,47.94,46.5,46.69,2039300,2.8945
2000-08-16,46.88,49.0,46.81,48.5,2565600,3.0067
2000-08-17,48.38,52.44,48.31,51.44,4837500,3.189
2000-08-18,51.38,51.81,49.88,50.0,3396000,3.0997
2000-08-21,50.25,51.56,49.63,50.5,2401200,3.1307
2000-08-22,50.63,52.81,50.38,51.69,4942900,3.2045
2000-08-23,51.47,54.75,51.06,54.31,4229700,3.3669
2000-08-24,54.67,56.63,53.38,56.11,5549400,3.4785
2000-08-25,56.5,57.5,56.38,56.81,5972500,3.5219
2000-08-28,57.25,59.0,57.06,58.06,6410800,3.5994
2000-08-29,57.88,59.44,57.69,59.19,4768400,3.6694
2000-08-30,59.0,60.0,58.7,59.5,5096300,3.6886
2000-08-31,58.97,61.5,58.94,60.94,7492800,3.7779
2000-09-01,61.31,63.63,61.13,63.44,4587000,3.9329
2000-09-05,62.66,64.12,62.25,62.44,5332900,3.8709
2000-09-06,61.38,62.38,57.75,58.44,6346500,3.6229
2000-09-07,59.13,62.56,58.25,62.0,3883300,3.8436
2000-09-08,61.63,61.63,58.5,58.88,3491400,3.6502
2000-09-11,58.69,60.38,58.13,58.44,3346100,3.6229
2000-09-12,57.34,60.06,57.0,57.75,3357100,3.5802
2000-09-13,56.75,59.5,56.75,58.0,5464000,3.5957
2000-09-14,58.56,59.63,56.81,56.86,7617000,3.525
2000-09-15,57.75,58.19,54.25,55.23,7044900,3.4239
2000-09-18,55.25,60.75,55.06,60.66,7581000,3.7606
2000-09-19,59.75,60.5,58.56,59.94,4848400,3.7159
2000-09-20,59.41,61.44,58.56,61.05,4060500,3.7847
2000-09-21,58.5,59.63,55.25,56.69,9115900,3.5144
2000-09-22,50.31,52.44,50.0,52.19,12976800,3.2355
2000-09-25,52.75,55.5,52.06,53.5,7777700,3.3167
2000-09-26,53.31,54.75,51.38,51.44,5195300,3.189
2000-09-27,51.75,52.75,48.25,48.94,7183200,3.034
2000-09-28,49.31,53.81,48.13,53.5,17492600,3.3167
2000-09-29,28.19,29.0,25.37,25.75,132529300,1.5963
2000-10-02,26.69,26.75,23.5,24.25,43299800,1.5034
2000-10-03,24.94,25.0,22.19,22.31,36395000,1.3831
2000-10-04,22.37,23.75,21.87,23.62,26179000,1.4643
2000-10-05,23.5,24.5,22.0,22.06,15589400,1.3676
2000-10-06,22.69,22.94,21.0,22.19,10940300,1.3756
2000-10-09,22.62,22.87,21.12,21.75,10670800,1.3484
2000-10-10,21.62,22.44,20.5,20.87,12341100,1.2938
2000-10-11,20.12,21.0,19.12,19.62,21400400,1.2163
2000-10-12,20.31,20.81,19.5,20.0,21269000,1.2399
2000-10-13,20.25,22.12,20.0,22.06,22281300,1.3676
2000-10-16,22.31,23.25,21.37,21.5,14646000,1.3329
2000-10-17,21.69,21.94,19.69,20.12,10745000,1.2473
2000-10-18,19.44,21.06,18.75,20.12,14897600,1.2473
2000-10-19,19.16,19.81,18.31,18.94,26905800,1.1742
2000-10-20,19.06,20.37,18.94,19.5,14129700,1.2089
2000-10-23,20.27,20.56,19.44,20.37,9844500,1.2628
2000-10-24,20.69,20.87,18.81,18.87,14365200,1.1698
2000-10-25,19.06,19.19,18.44,18.5,11856600,1.1469
