Date,Open,High,Low,Close,Volume,Adj Close
2014-03-27,540.015,541.5,535.1201,537.46,7929700,69.3348
2014-03-28,538.32,538.9399,534.25,536.86,7163000,69.2574
2014-03-31,539.23,540.81,535.93,536.74,6023900,69.2419
2014-04-01,537.76,541.87,536.77,541.65,7170000,69.8753
2014-04-02,542.38,543.48,540.26,542.55,6443600,69.9914
2014-04-03,541.39,542.5,537.64,538.79,5798000,69.5063
2014-04-04,539.81,540.0,530.58,531.82,9830400,68.6072
2014-04-07,528.02,530.9,521.89,523.47,10351800,67.53
2014-04-08,525.19,526.12,518.7001,523.44,8710300,67.5261
2014-04-09,522.64,530.49,522.02,530.32,7363200,68.4137
2014-04-10,530.68,532.24,523.17,523.48,8559000,67.5313
2014-04-11,519.0,522.83,517.14,519.61,9704200,67.032
2014-04-14,521.9,522.16,517.21,521.68,7345500,67.2991
2014-04-15,520.27,521.64,511.33,517.9599,9517500,66.8192
2014-04-16,518.05,521.09,514.1354,519.01,7670200,66.9546
2014-04-17,520.0,527.76,519.2,524.94,10154800,67.7196
2014-04-21,525.34,532.14,523.96,531.17,6519600,68.5233
2014-04-22,528.31,531.826,526.501,531.699,7234400,68.5916
2014-04-23,529.06,531.13,524.45,524.75,14105000,67.6951
2014-04-24,568.21,570.0,560.73,567.77,27139700,73.2449
2014-04-25,564.53,571.99,563.96,571.94,13938400,73.7828
2014-04-28,572.8,595.75,572.55,594.09,23910200,76.6403
2014-04-29,593.74,595.98,589.51,592.33,12049200,76.4132
2014-04-30,592.64,599.43,589.8,590.09,16308600,76.1243
2014-05-01,592.0,594.8,586.36,591.48,8716000,76.3036
2014-05-02,592.34,594.2,589.71,592.58,6839800,76.4455
2014-05-05,590.14,601.0,590.0,600.96,10252400,77.5265
2014-05-06,601.8,604.4099,594.41,594.41,13377300,76.6816
2014-05-07,595.25,597.29,587.73,592.33,10102300,76.4132
2014-05-08,588.25,594.41,586.4,587.99,8224900,76.2778
2014-05-09,584.54,586.25,580.33,585.5425,10414200,75.9603
2014-05-12,587.49,593.66,587.4,592.83,7614600,76.9057
2014-05-13,592.0,594.54,590.7,593.76,5704900,77.0263
2014-05-14,592.43,597.4,591.74,593.87,5943000,77.0406
2014-05-15,594.7,596.6,588.04,588.82,8244500,76.3855
2014-05-16,588.63,597.53,585.4,597.51,9866300,77.5128
2014-05-19,597.85,607.33,597.33,604.59,11348400,78.4312
2014-05-20,604.51,606.4,600.73,604.71,8387000,78.4468
2014-05-21,603.83,606.7,602.06,606.31,7030700,78.6544
2014-05-22,606.6,609.85,604.1,607.27,7170000,78.7789
2014-05-23,607.25,614.7293,606.47,614.13,8293200,79.6688
2014-05-27,615.88,625.86,615.63,625.63,12459500,81.1607
2014-05-28,626.02,629.83,623.78,624.01,11267200,80.9505
2014-05-29,627.85,636.87,627.77,635.38,13445500,82.4255
2014-05-30,637.98,644.17,628.9,633.0,20143600,82.1168
2014-06-02,633.96,634.83,622.5,628.65,13191100,81.5525
2014-06-03,628.46,638.74,628.25,637.54,10453900,82.7057
2014-06-04,637.44,647.89,636.11,644.82,11981500,83.6501
2014-06-05,646.2,649.3699,642.61,647.35,10850200,83.9783
2014-06-06,649.9,651.26,644.47,645.57,12497800,83.7474
2014-06-09,92.7,93.88,91.75,93.7,75414997,85.0876
2014-06-10,94.73,95.05,93.57,94.25,62777000,85.587
2014-06-11,94.13,94.76,93.47,93.86,45681000,85.2329
2014-06-12,94.04,94.12,91.9,92.29,54749000,83.8072
2014-06-13,92.2,92.44,90.88,91.28,54525000,82.89
2014-06-16,91.51,92.75,91.45,92.2,35561000,83.7255
2014-06-17,92.31,92.7,91.8,92.08,29726000,83.6165
2014-06-18,92.27,92.29,91.35,92.18,33514000,83.7073
2014-06-19,92.29,92.3,91.3389,91.86,35528000,83.4167
2014-06-20,91.85,92.55,90.9,90.91,100898000,82.554
2014-06-23,91.32,91.62,90.6,90.83,43694000,82.4814
2014-06-24,90.75,91.74,90.19,90.28,39036000,81.9819
2014-06-25,90.21,90.7,89.65,90.36,36869000,82.0546
2014-06-26,90.37,91.05,89.8,90.9,32629000,82.5449
2014-06-27,90.82,92.0,90.77,91.98,64029000,83.5257
2014-06-30,92.1,93.725,92.09,92.93,49589000,84.3884
2014-07-01,93.52,94.07,93.13,93.52,38223000,84.9241
2014-07-02,93.865,94.06,93.09,93.48,28465000,84.8878
2014-07-03,93.67,94.1,93.2,94.03,22891800,85.3873
2014-07-07,94.14,95.99,94.1,95.968,56468000,87.1471
2014-07-08,96.27,96.8,93.92,95.35,65222000,86.5859
2014-07-09,95.44,95.95,94.76,95.39,36436000,86.6222
2014-07-10,93.76,95.55,93.52,95.035,39686000,86.2999
2014-07-11,95.36,95.89,94.8625,95.22,34018000,86.4679
2014-07-14,95.86,96.89,95.65,96.45,42810000,87.5848
2014-07-15,96.8,96.85,95.03,95.32,45477900,86.5587
2014-07-16,96.97,97.1,94.74,94.78,53502000,86.0683
2014-07-17,95.03,95.279,92.57,93.0899,57298000,84.5336
2014-07-18,93.62,94.74,93.02,94.43,49988000,85.7505
2014-07-21,94.99,95.0,93.72,93.939,39079000,85.3046
2014-07-22,94.68,94.89,94.12,94.72,55197000,86.0138
2014-07-23,95.42,97.88,95.17,97.19,92918000,88.2568
2014-07-24,97.035,97.32,96.42,97.03,45729000,88.1115
2014-07-25,96.85,97.84,96.64,97.671,43469000,88.6936
2014-07-28,97.82,99.24,97.55,99.02,55318000,89.9186
2014-07-29,99.33,99.44,98.25,98.38,43143000,89.3374
2014-07-30,98.44,98.7,97.67,98.15,33010000,89.1286
