Date,Open,High,Low,Close,Volume,Adj Close
2000-04-26,0.5907,0.5907,0.5907,0.5907,0,0.5907
2000-04-27,0.588,0.588,0.588,0.588,0,0.588
2000-04-28,0.5838,0.5838,0.5838,0.5838,0,0.5838
2000-05-02,0.5863,0.5863,0.5863,0.5863,0,0.5863
2000-05-03,0.591,0.591,0.591,0.591,0,0.591
2000-05-04,0.592,0.592,0.592,0.592,0,0.592
2000-05-05,0.5936,0.5936,0.5936,0.5936,0,0.5936
2000-05-08,0.5877,0.5877,0.5877,0.5877,0,0.5877
2000-05-09,0.582,0.582,0.582,0.582,0,0.582
2000-05-10,0.5812,0.5812,0.5812,0.5812,0,0.5812
2000-05-11,0.5802,0.5802,0.5802,0.5802,0,0.5802
2000-05-12,0.5795,0.5795,0.5795,0.5795,0,0.5795
2000-05-15,0.5735,0.5735,0.5735,0.5735,0,0.5735
2000-05-16,0.576,0.576,0.576,0.576,0,0.576
2000-05-17,0.568,0.568,0.568,0.568,0,0.568
2000-05-18,0.5685,0.5685,0.5685,0.5685,0,0.5685
2000-05-19,0.5717,0.5717,0.5717,0.5717,0,0.5717
2000-05-22,0.5742,0.5742,0.5742,0.5742,0,0.5742
2000-05-23,0.5768,0.5768,0.5768,0.5768,0,0.5768
2000-05-24,0.5713,0.5713,0.5713,0.5713,0,0.5713
2000-05-25,0.5706,0.5706,0.5706,0.5706,0,0.5706
2000-05-26,0.569,0.569,0.569,0.569,0,0.569
2000-05-30,0.5774,0.5774,0.5774,0.5774,0,0.5774
2000-05-31,0.5704,0.5704,0.5704,0.5704,0,0.5704
2000-06-01,0.5723,0.5723,0.5723,0.5723,0,0.5723
2000-06-02,0.5798,0.5798,0.5798,0.5798,0,0.5798
2000-06-05,0.5818,0.5818,0.5818,0.5818,0,0.5818
2000-06-06,0.5895,0.5895,0.5895,0.5895,0,0.5895
2000-06-07,0.5896,0.5896,0.5896,0.5896,0,0.5896
2000-06-08,0.5892,0.5892,0.5892,0.5892,0,0.5892
